name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BUILD YOUR OWN BOWL (MEDIUM),13.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
OMEGA-3 SALMON BURRITO,14.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA AND CRAB NACHO,9.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BAKED SALMON ROLL,12.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
3 HAND ROLLS,11.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
KOREAN STYLE ICED COFFEE,4.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
PIÑACHOS,9.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL (SMALL),11.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL (LARGE),16.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL+1 HAND ROLL COMBO (SMALL),14.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL+1 HAND ROLL COMBO (MEDIUM),16.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL+1 HAND ROLL COMBO (LARGE),19.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY DOUBLE TUNA BURRITO,14.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
FIFTY/50 BURRITO,14.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN POKE BURRITO,14.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE SIGNATURE BOWL,13.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
ALOHA AHI TUNA BOWL,13.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOT SOBA NOODLES,10.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
HULA SOBA (WITH SEAFOOD),13.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
UDON,10.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
HULA UDON (WITH SEAFOOD),13.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA & CRAB NACHO,9.95,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO,1.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
EXTRA PROTEIN (ONE SCOOP),2.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHIPS,1.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
UDON SOUP,2.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
RICE,1.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
PERRIER SPARKLING WATER,3.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
BOTTLED WATER,2.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SOFT DRINK,2.25,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
ARIZONA,2.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SNAPPLE,3.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
MONSTER,3.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
LA CROIX,2.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
VITA COCO,3.0,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
1 HAND ROLL,4.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
5 HAND ROLLS,17.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
CALIFORNIA ROLL,7.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPICY TUNA ROLL,8.5,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO ROLL,7.99,,HULAFISH | THE URBAN POKE BAR,"UBEREATS, LOS ANGELES, CA",,,,,,,
