name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
ICE CREAM CUP PINT,8.99,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
CUP ICE CREAM,5.39,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
ICE CREAM QUART,13.99,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
COOKIE CAKE SLICE,3.89,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
DIPPED BOWL,9.28,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
SINGLE COOKIE,1.79,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
DOUBLE DOOZIES,3.79,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
BROWNIE,2.79,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
DIPPED CONE,6.98,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
PLAIN CONE,6.68,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
PLAIN BOWL,8.98,,MARBLE SLAB CREAMERY | GREAT AMERICAN COOKIES,"UBEREATS, HOUSTON, TX",,,,,,,
