name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP,13.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPAM MUSUBI,3.25,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BEEF,15.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
CHICKEN,13.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
CUCUMBER KIMCHI,3.75,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BRIOCHE BREAD PUDDING,5.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BM SALAD,9.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
NOT-SO-SPICY CHICKEN SANDWICH,12.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE SAUSAGE REGULAR,6.25,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SCOOP RICE REGULAR,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE 1 EGG REGULAR,1.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SIDE 2 EGGS SUNNY SIDE REGULAR,3.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
TOFU REGULAR,10.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
AVOCADO TOAST,9.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
LOCAL PLATE,11.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
PICKLED CARROTS,2.75,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BRAISED POTATO,2.75,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
POTATO-MAC SALAD,3.25,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
MAHALO TEE REGULAR,25.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
BM MASK REGULAR,7.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
COLD TEA CAN,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
WAIĀKEA BOTTLED WATER,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
HAWAIIAN SUN CAN JUICE,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
COLD COFFEE CAN,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPARKLING WATER,2.5,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
COKE,2.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
DIET COKE REGULAR,2.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPRITE REGULAR,2.0,,BROKEN MOUTH | LEE'S HOMESTYLE,"UBEREATS, LOS ANGELES, CA",,,,,,,
