name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
CHICKEN GUACAMOLE CRUNCHTADA®,3.6,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
QUESO BEEF CRUNCHTADA®,2.4,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRUNCHTADA® TOSTADA,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC BBQ CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC HONEY MANGO CRISPY CHICKEN & BACON BURRITO,6.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC CRISPY CHICKEN & GUAC BURRITO,6.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX,4.8,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY MANGO CRISPY CHICKEN & CHURROS BOX MEAL,7.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY CHICKEN & FRIES BOX,4.8,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY CHICKEN & FRIES BOX MEAL,7.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC BEYOND CALI BURRITO,8.14,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC BEYOND FRESH GUACAMOLE BURRITO,7.95,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
EPIC BEYOND LOADED QUESO BURRITO,7.7,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
CRISPY CHICKEN TACO,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
HONEY CHIPOTLE BBQ CRISPY CHICKEN TACO,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
HABANERO CRISPY CHICKEN TACO,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
3 LAYER QUESO NACHOS,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
DONUT BITES,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
MEDIUM BREWED GOLD PEAK® ICED TEA,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
JACKED UP VALUE BRC BURRITO,1.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
MINI CHEDDAR QUESADILLA,1.1,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
MILD SAUCE - ORIGINAL,0.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
DEL SCORCHO - MEDIUM,0.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
DEL INFERNO - HOT,0.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
KETCHUP,0.0,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
TRIPLE CHICKEN BOX,7.2,,DEL TACO (4376 W. SUNSET BLVD | 1105),"UBEREATS, LOS ANGELES, CA",,,,,,,
