name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
SHRIMP IN WHITE KORMA BOWL,11.75,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
KERALA SHRIMP CURRY BOWL,11.25,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
OG CHICKEN TIKKA & SAAG BOWL,9.75,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
CLASSIC CHICKEN CURRY & SAAG WRAP,9.75,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SPIT ROASTED VINDALOO PORK IN TIKKA MASALA,9.75,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
ROOMALI,5.0,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN WRAP,9.25,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
BUILD YOUR OWN BOWL,9.25,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
HOUSE FRAGRANT BROWN RICE,0.0,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PULAO,4.0,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SEARED BROCCOLI & POTATO,6.0,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
SAAG (DEEP FLAVORED CREAMY SPINACH),6.5,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
KACHUMBER SALAD,3.5,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
PLAIN RUMALI FLAT BREAD,2.5,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
"SEARED TOFU , HYBRID DAAL,& SAAG WRAP",9.75,,CURRY'D | ACCENT,"UBEREATS, LOS ANGELES, CA",,,,,,,
