name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BAG OF MINI COOKIES,5.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
STRAWBERRY SHAKE,5.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
CHOCOLATE SHAKE,5.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
VANILLA SHAKE,5.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
OREO® COOKIE SHAKE,5.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
COKE,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
COKE ZERO SUGAR,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
CHERRY COKE,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
HONEST ORGANIC HONEY GREEN TEA,3.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
VITAMIN WATER XXX ACAI BLUE POM,3.49,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
VITAMIN WATER SQUEEZED LEMONADE,3.49,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
POWERADE MOUNTAIN BERRY BLAST,3.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
SMARTWATER,3.79,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
ARIZONA TEA,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
CRUSH,2.99,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
DIET SNAPPLE HALF & HALF,3.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
IBC ROOT BEER,3.29,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO,3.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
SAN PELLEGRINO BLOOD ORANGE,3.39,,POTBELLY SANDWICH SHOP (7TH AND MCDOWELL | 282),"UBEREATS, PHOENIX, AZ",,,,,,,
