name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
BACON & EGG SANDWICH,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
EGG & CHEESE SANDWICH,4.59,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
TURKEY SAUSAGE & EGG SANDWICH,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BAGEL (TOASTED),2.39,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
HAMMY SAMMY,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE LATTE,4.89,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
LARGE MOCHA,4.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
AMERICANO,3.89,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
CAPPUCCINO,3.89,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
FRESH DRIP 16OZ - MADE WITH XANADU BEANS,2.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
NITRO COLD BREW 24OZ,5.49,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
NITRO CHAI 24OZ,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
MOCHA,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
CARAMEL,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
WHITE MOCHA,5.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
MINT CHOCOLATE CHIP,6.09,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
WHITE CHOCOLATE RASPBERRY,6.09,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
FIJI BOTTLED WATER 1.5 L,3.29,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
COKE 20OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
DIET COKE 20OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
COKE ZERO 20OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SPRITE 20OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
DR. PEPER 20OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
MONSTER ENERGY DRINK CAN 16 OZ,2.89,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
REIGN ENERGY DRINK CAN 16 OZ,2.89,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
GUAYAKI YERBA MATE CAN 15.5 OZ,3.39,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SIMPLY JUICE 11.5 OZ,2.29,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
KIT KAT KING SIZE 3 OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
MIKE AND IKE 3.6 OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
REESE'S KING SIZE 2.8 OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SNIKERS ALMOND 2-BAR 3.23 OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
TWIX COOKIE BAR 3.02 OZ,1.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SOUR PATCH KIDS (5OZ BAG),2.99,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
SALTED CARAMEL,5.75,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
BLACK ROSE (LARGE),5.75,,URBO | URBAN BODEGA,"UBEREATS, PHOENIX, AZ",,,,,,,
