name,price_usd,calories,restaurant_name,identifier,sugars_g,cholesterol_mg,protein_g,fiber_g,fat_g,carbohydrates_g,sodium_mg
A WRECK®,6.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ITALIAN,6.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
TURKEY BREAST,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
BROCCOLI CHEDDAR,4.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
MAC & CHEESE,4.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
AVO TURKEY,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN CLUB,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
STEAKHOUSE BEEF,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
VEGGIE MELT,6.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
PIZZA MELT,6.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
MEDITERRANEAN,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
BLTA,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
MAMA'S MEATBALL,6.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SMOKED HAM,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ROAST BEEF,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
GRILLED CHICKEN,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
TUNA SALAD,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SALAD,5.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
FARMHOUSE SALAD,7.49,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
APPLE WALNUT SALAD,7.49,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
POWERHOUSE SALAD,7.49,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN SALAD SALAD,7.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SKINNY SANDWICH + CUP OF SOUP,10.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHIPS + DRINK,3.79,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHICKEN POT PIE SOUP,4.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHILI,4.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
GARDEN VEGETABLE,4.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ZAPP'S REGULAR CHIPS,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ZAPP'S SALT & VINEGAR CHIPS,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
BAKED LAY'S,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
DORITOS COOL RANCH,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ZAPP'S HOTTER 'N HOT JALAPEÑO CHIPS,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ZAPP'S BAR-B-QUE RANCH CHIPS,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ZAPP'S VOODOO HEAT CHIPS,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SUN CHIPS HARVEST CHEDDAR,1.89,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
POTBELLY WHOLE PICKLE,1.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
OATMEAL CHOCOLATE CHIP COOKIE,2.19,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SUGAR COOKIE,2.19,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE BROWNIE COOKIE,2.19,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
BAG OF MINI COOKIES,5.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
STRAWBERRY SHAKE,5.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHOCOLATE SHAKE,5.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
VANILLA SHAKE,5.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
OREO® COOKIE SHAKE,5.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
COKE,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
DIET COKE,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SPRITE,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
COKE ZERO SUGAR,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CHERRY COKE,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
HONEST ORGANIC HONEY GREEN TEA,3.49,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
POWERADE MOUNTAIN BERRY BLAST,3.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
BOTTLED WATER,2.49,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
ARIZONA TEA,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
CRUSH,2.99,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
IBC CREAM SODA,3.29,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
NANTUCKET NECTARS ORANGE MANGO,3.69,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SAN PELLEGRINO BLOOD ORANGE,3.39,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
PREMIUM TOPPING BAR,14.99,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
SOUPS FOR A GROUP,0.0,,POTBELLY SANDWICH SHOP (RICE VILLAGE | 242),"UBEREATS, HOUSTON, TX",,,,,,,
